Tax name,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Steuereinnahmen insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lohnsteuer,11414378,9017817,9408210,9901624,10305324,10899123,11808864,10746316,9816841,9741723,9817750,20931082,11592516,9585264,9486058,9780033,10741885,10737873,12109804,10764650,10138701,9990026,10045937,20760321,12026008,9639707,9521923,9947394,10319941,10723169,11556311,10463995,9496680,9491249,9647584,19791960,11336560,9559224,9486277,9968206,10334333,10697224,11753334,10593104,9549732,9538927,9597108,19775813,11472842,9785373,9330711,10399115,10615270,10668969,11941572,10558977,9636421,9753258,9654202,19273444,11066070,9559833,8892309,9699781,9858717,10001768,10844325,9721262,8795983,8864335,8887035,17703952,10055224,9122541,8689062,9485105,9776504,9768674,10355288,9191510,8624974,8612438,8551090,16686862,10143564,9194211,8757428,9582720,9928855,10260162,10712242,9555739,8961439,9183144,8996613,17336009,11218686,9753098,9492713,10434349,10650861,11158537,11505928,10237641,9672325,9924761,9785712,17938676,12021980,10515043,10255718,11305039,11407412,11987501,12556522,10998429,10508233,10680356,10804994,18854143,12760429,10895601,10318500,9340021,9781126,11359686,12073204,10010073,10067056,10311890,10066651,18180820,11672412,9412921,9169360,10356731,9131159,10958655,11286095,9672304,9487025,9694960,9566360,17496135,11929213,10460086,10088455,11373864,10616040,12154096,12439608,10750148,10400167,10627832,10503722,18406081,12206468,11200405,10698848,12124033,10946176,13077459,13456078,11938166,11187436,11337654,11320148,19571742,13296615,11859224,11312034,12783053,11827068,14216409,13779690,12354721,11873263,12094643,12045835,20755524,14161364,12709509,12164600,13516905,12371171,14879422,14791689,13260817,12485174,12876377,12916024,21849460,14994859,13574863,12987063,14701405,13532323,16032880,15708162,14298639,13244407,13060099,13770287,22985552,15116567,14050571,13416338,15407528,13733682,16170286,16148438,14277199,14230504,14235044,14117292,23922611,16435325,14747158,14126327,16148614,14788357,17318609,16903783,15768797,14580122,14879962,15082933,24743755,17305070,15732474,15021827,17136339,16046552,18212230,18239537,16450975,15677009,16119840,16265039,26023970,18456023,16611169,15856200,18071784,16867240,19497740,19067744,18140242,16459525,16314187,17416264,26901963,19271699,17501537,16615624,17542194,15135479,18082502,18010914,16938511,12521057,14586639,16424978,26655268,18028799,16873969,15951175,18438942,13917999,18425885,19450272,17679785,16727180,17148570,17646149,28118421,19945059,18266381,17994514,20221036,19192814,20949224,17707644,17981464,7741419,19375334,18274565,29555090,20777743,17720396,17170562,19855085,19140342,20542299,20129527,18858743,17381751,17764114,17983466,28903426,20713895,18333196,18053584,,,,,,,,,
Umsatzsteuer,9781606,10800710,7446126,8299312,10062278,8624741,9199436,9722928,8977803,9160793,10104977,9419750,10061298,10968872,7136470,8352473,9487366,8749381,8995979,8598458,8254926,8781716,9360112,8392493,9048707,10505218,6962563,7492612,9455927,8130260,8695964,8732968,8525929,8568741,9184384,9159729,9683786,9921324,7482058,7443584,9580295,8393329,8123591,9130264,8682687,8590670,9490814,8940371,8491804,10086500,6948168,7656769,8814592,8486680,8577104,9026643,8497822,8119449,9692057,8764139,8930579,10262405,6725698,7588310,9288876,8145814,8328704,9245847,8938429,8500283,9626969,9133453,9652934,10798207,7579900,7434395,9107637,8637735,8720973,9867335,8931164,9037895,9531040,9140555,9701236,10647883,7159240,8088107,9925442,8331204,9700378,9201377,9161072,9128588,10098439,10175204,10430645,13160532,9033061,9432624,11312564,9896806,10488662,10586984,10648321,10027650,11200872,11303301,10613467,13777088,9097220,9119462,10912282,10613647,10513429,11633867,10557845,10034886,12288271,11627515,11094029,13695456,9444320,10804915,12460649,11910857,11409390,12118464,12188855,11346291,12953840,12480192,12249242,13580174,8224630,10113585,12800376,10865084,10617453,11707885,10932267,11051902,12506118,11810532,11829134,14626287,9072795,9779507,12155777,11146282,11407231,11682830,11142042,11570491,12653880,11891112,11830545,15514083,8995814,10390676,12066226,10413968,11620173,12365481,12246672,11299657,12809366,12886320,12011110,15216315,10238487,10120525,13021644,11910028,12023821,12834328,12803194,12033656,12777775,13324237,12463032,15551829,10889041,11117295,13418101,12658603,12637847,12782557,13312501,11710286,14452752,13233916,12682791,16622442,10744313,11093211,14212310,12757540,12760188,14150295,13118788,12422118,14393849,14057308,13991963,17064932,11210630,12248409,14365887,13581013,13033325,14571531,13272009,14015551,14680821,13896363,14598674,18040339,11557396,12327575,14433880,13123827,14475903,14338542,13756394,13927574,15744616,14173751,14865252,18810942,11595648,12344925,14889306,13986093,14303942,15475932,14171022,14245086,15080148,15668877,15137731,19272429,11607987,13294014,15702762,14946160,14422257,15472850,16081076,14452529,16452482,16270459,15126167,20677757,10233600,6904347,12318533,12401758,15847195,17418217,14667776,13755625,14342964,15005992,15383909,19461780,10557452,13189300,16594865,13615331,15230787,17478036,16343008,15389259,17411706,16975640,17189428,24687980,12356745,14363705,17527284,14863721,16034177,16539738,16749144,15357607,16743385,15787737,17242383,23614859,11340257,13837611,18725653,15291989,20301302,18978325,17706634,17628831,19505542,18422592,19339863,22988600,14140977,,,,,,,,,
Tabaksteuer,262397,467387,1293379,1033580,464138,1314875,1037560,1031555,987725,1019922,610369,2131759,259026,400162,1228402,522064,1327249,1106666,977378,1058907,1026558,943528,942799,1650201,205507,533578,1337841,557274,1372162,571010,1478177,1106507,523901,1655187,714386,2016405,222432,525939,1108795,1124384,1567446,599553,1191403,1704938,680518,1738399,683104,2631108,213219,516439,1220024,1071018,1849595,679153,1836166,746863,1166112,1734403,584536,2476364,208327,1070059,1097820,1326117,1135789,1022369,1129699,1185140,1163152,1242131,1249190,1800211,333594,1099436,1066096,1246128,1220327,1143315,1264273,1291889,1395148,1287928,1125243,1799626,472685,1181428,1132280,1275283,1042745,1285980,1216650,1212309,1270808,1219287,979068,2097999,370113,1420760,1124864,1219629,1068460,1173792,1271983,1291364,1210579,1137638,1221735,1743449,223492,1196839,1126216,1110853,1132570,1023935,1209343,1291832,1148266,1231160,1197486,1682284,236775,1081872,1046107,1197623,1196302,1166145,1282940,1143728,1072273,1227384,1074206,1640645,374047,821733,1265821,1134168,1078887,1114190,1224900,1208091,1174741,1198639,1090042,1807012,335251,833614,1724294,1169038,1104610,1026168,1042064,1194969,1180618,1404516,1264145,2134464,376297,982259,946082,1220404,1166604,1162855,1224410,1289516,1096560,1431958,1407682,1838821,481817,819235,840313,1324536,1189066,990549,1300021,1263247,1295209,1318303,1348812,1648832,793369,721491,962488,1255898,1213576,1238781,1184784,1299057,1251149,1341537,1357241,1992371,513170,555076,1154672,1327512,1238998,1116104,1373943,1406102,1201007,1368390,1424800,2241152,555510,684537,1481716,1598783,1691093,849350,715025,1124690,1170457,1237588,1155615,1921697,431690,970722,1234663,1217865,1145921,1269978,1206785,1323525,1336732,1010172,1377010,1873768,332192,990513,1102500,960364,1469788,1054377,1557543,1247790,1081026,1473868,1202702,1866342,246931,842968,1404831,1001476,1682204,904359,1450480,1293958,922974,1683462,1358904,1464281,459411,801828,1152211,1638439,1028086,1105820,1680813,1261451,1035457,1439196,1052090,1996114,597577,865545,1121398,1466310,1250768,1336244,1246794,1244827,1144587,1336882,1185197,1936392,538346,747636,1085579,1202372,1254432,1191519,1182536,1174828,1384874,1436087,1013587,2017626,461067,889921,1317756,1104333,1376892,1348793,1403486,1216219,1259527,1451182,1167055,1675579,491729,1339840,840437,,,,,,,,,
Kaffeesteuer,94728,104583,59526,69067,110246,85728,90298,89347,92551,89162,98770,122095,84471,107080,75465,67863,91771,77378,110137,78682,84024,89437,91724,128751,79207,90725,77757,70097,89575,87070,92573,80885,77590,88354,86078,118912,91362,90871,76883,68956,89874,88276,90828,79015,83538,83560,95695,151873,50433,91764,73473,67600,86274,92077,90238,67378,72283,76153,89433,123015,90566,92510,73874,65806,97200,88025,75421,77664,76043,83536,98261,105701,92819,101947,70696,66314,76943,81787,74898,64069,74158,77966,80062,141638,40512,99856,72763,73515,93242,83908,85059,74399,69283,82411,74592,123349,95417,138738,68458,100953,74139,85949,70257,74737,75359,89950,100158,112353,92600,71394,68114,89122,84498,75529,78123,80425,80979,88460,97073,101829,93655,63956,67274,95883,88916,78385,75251,79954,78481,85253,91406,98262,104472,63883,69516,100415,83689,78067,80364,79659,86811,83640,77194,94179,101074,77117,70125,94731,89203,88373,79401,78485,80655,84468,82612,102060,98470,72512,85434,100669,77551,88261,82160,80155,83682,80416,100937,103297,94940,68923,74236,94932,86816,79924,78614,81662,79439,89426,93050,99181,103797,71963,75236,87878,90411,78508,71899,78537,80459,93712,88134,95045,105129,74233,73225,110616,79897,80086,77285,74457,78400,91316,91877,94991,107563,63838,83707,93398,79238,78607,82893,85337,91130,87628,85458,101026,95690,74520,78936,97843,80552,90686,78221,75154,91049,92598,94053,108050,90128,76429,76889,97593,79222,83076,79776,81747,85630,85353,94851,105875,83679,81031,81136,99284,99148,83626,77743,85762,79936,85981,93443,109484,92402,78886,79419,99610,67487,71277,88844,87520,87375,99977,98009,109502,101685,60251,89626,109864,78936,87757,82549,85915,82176,92776,81555,105334,101799,65864,85319,121042,82598,84258,81504,79336,80543,91463,89332,99482,96595,72930,85532,97970,73405,85795,77933,76251,85985,81125,93823,102885,87475,72543,87983,,,,,,,,,
Alkoholsteuer,56238,26494,301035,158755,147029,172750,187859,154749,151782,190649,158526,526912,47804,30089,278272,107378,173708,186864,163934,168163,161959,171395,159072,502126,46477,23138,279260,127754,174844,161899,205989,158311,135324,173591,180332,475659,60753,51875,224018,146520,156749,157783,183777,219463,107443,207207,166279,467266,69592,52282,260561,132095,174281,160133,207428,156013,158013,199326,135073,499636,47578,230163,161284,160709,168688,172075,180216,165811,128211,204497,173268,402159,30528,82577,221547,206991,164734,190669,186295,158459,167161,177974,164541,390388,31958,87217,279603,155471,185651,164215,182709,200467,152700,163791,121569,434914,24887,224788,165981,145459,186770,160689,175415,158456,174898,176836,165340,199195,224789,235488,166204,135900,173224,170047,163001,153111,171551,161824,178876,191921,200151,254872,138722,139646,175973,162057,157474,160482,169783,159494,173555,208705,189262,207219,129859,132550,188464,116365,165134,158601,165118,164391,174668,198677,194657,260128,119057,141506,170292,170534,162536,174607,203357,178253,171831,202676,203141,246049,127278,148786,177086,164035,177637,161205,167563,162379,167245,218983,205691,219140,154942,140764,181570,148801,169925,157331,179654,158191,169993,216420,196697,223962,135285,142376,159620,167798,154606,174130,170295,147740,170032,217114,189081,241769,139107,137800,183562,148592,155843,168705,171170,152826,174775,206700,194584,239418,131389,141825,178609,152791,170635,164675,163999,170748,162778,198781,213849,239273,124948,139843,181699,154721,173884,166633,161028,176804,169406,191501,221063,228178,141946,133650,190808,141906,175888,183532,171161,167545,159073,217929,215799,216876,146226,147028,160447,177837,181153,160415,173643,166680,157187,214465,197841,221828,141962,131861,167076,156457,153594,164620,187947,166831,183046,364838,44365,229879,120815,134342,248613,145229,151693,180725,182016,178460,184150,288751,177487,223360,130643,146489,185678,172806,183348,184915,180828,172067,178243,255419,164759,218795,146636,185368,182605,149306,188108,176467,167077,170766,171100,237975,161590,206001,152591,,,,,,,,,
Alcopopsteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2,1787,1008,693,994,952,1192,278,1131,466,1072,205,871,575,552,402,566,468,685,252,449,210,725,3,242,318,313,214,282,237,344,271,213,154,226,216,204,300,134,238,201,250,390,224,127,217,238,116,189,176,385,82,160,190,199,247,130,155,159,189,270,123,109,152,144,205,142,671,-2,216,229,347,678,326,-77,89,-831,265,238,130,196,214,71,95,201,103,84,155,137,377,66,152,167,230,255,144,143,96,126,116,1,665,111,152,136,229,58,61,131,130,98,120,129,195,100,181,148,-102,141,123,135,85,131,126,175,214,82,81,85,60,937,68,231,69,48,55,103,117,76,73,323,103,49,181,70,51,76,150,401,331,193,112,117,80,258,135,98,169,88,55,318,144,98,174,518,-2,680,75,83,72,74,65,78,130,139,178,26,-9,114,7817,2598,-207,46,34,72,98,82,-261,250,92,143,4,121,64,96,130,124,153,187,1914,-8422,109,217,181,67,70,94,220,170,337,280,254,325,156,258,8,193,135,131,146,147,170,181,40,177,19,79,8,11,21,,,,,,,,,
Schaumweinsteuer,3423,3364,85618,37614,24776,39510,35786,37779,35954,40251,36420,164866,2575,6870,96695,19520,30330,31897,30969,49417,20816,32047,29991,126394,3425,2305,83901,21136,40128,18772,44931,33466,20279,32907,35508,120447,9961,16936,61986,25347,16428,38895,38455,37797,19064,46782,20991,87532,21445,11833,67018,20293,34506,22046,43368,25261,25401,48199,15262,97687,16121,72233,23701,25479,31878,29653,28465,29291,31122,32622,37677,77706,1023,24479,72916,30260,30570,27533,30890,30379,28180,23279,33155,91171,1687,12997,85683,22913,30339,27850,30869,31490,29515,32208,35631,79594,1352,70710,24068,21219,36091,26246,33028,29014,31633,33028,31881,33123,55970,66921,28854,20757,27630,32164,33259,29671,33051,29558,36359,35431,42080,75401,21433,24994,34913,32719,30176,32570,31479,31293,32925,55951,31046,73021,21941,22152,37082,29613,35660,36005,29730,31356,38975,34924,53049,71790,16789,21746,32808,40365,37420,30763,37411,34158,39841,38195,46828,72494,21587,27813,37898,28676,39505,36354,36386,31039,32400,39000,51922,68070,28443,21226,38164,30919,31541,29713,31751,32719,35036,34811,49079,62185,23600,22697,36386,35452,27262,28323,32760,24701,37485,31652,49099,64417,21691,19043,42376,23618,32340,29011,29182,30289,38176,49844,23663,62102,23185,20685,35942,26513,26690,32748,27523,31482,37456,52576,25380,63252,20293,23445,30262,26164,28947,29446,30468,28346,32463,29461,46863,57999,21791,21272,30339,25238,25728,28626,30901,29260,29319,30395,46532,55270,21932,23725,28275,32587,26775,25907,32327,26643,32498,31419,43807,50483,23354,21499,31229,23197,22636,26725,31037,31577,31901,67581,1795,56413,17152,16928,30450,26776,25096,26102,30441,28573,31499,49378,24113,50887,18657,20717,30412,29757,27848,27248,32397,30152,31331,28945,36844,49625,22632,20659,37252,24780,27779,29206,27311,27924,27883,29069,41849,46306,21397,,,,,,,,,
Energiesteuer,125256,1040966,2589290,2572635,3305707,3056618,2987063,3060415,3028981,2638811,3599902,8437973,102966,1525669,2818017,2544840,4003928,3091143,3269876,3093815,3143579,3372452,3074661,7785361,997252,1414942,3048712,3021679,3492332,3282212,3502842,3337259,3313084,3533228,3252017,8494426,1064929,1186997,3460920,3134152,3467503,3505202,3396455,3166393,3591391,3441613,3379047,9397858,-29264,1374791,3532596,3538728,3627064,3575386,3563762,3400253,3642997,3304597,3703554,9953216,-158068,1473601,3296228,3319560,3827851,3451882,3195361,3375668,3387882,3331072,3503040,9777623,-221972,1459934,3168814,3155992,3447070,3312547,3367969,3240805,3167204,3446918,3296267,9259434,-214506,1398820,3295466,3160501,3429301,3136794,3373741,3093546,3577847,3562792,3480704,8621020,260048,1444640,2835343,2826337,3313461,3089921,3246797,3234051,3422738,3644864,3252613,8383780,372965,1254212,3041003,3098687,3109850,3361623,3178668,3184260,3443722,3172002,3536198,8494353,318694,1476334,2981692,3071348,3346262,3641417,3191945,3167466,3523104,3299654,3561743,8242058,272240,1394174,2779273,2765959,3473037,3356520,3306390,3358939,3506714,3449018,3574006,8601849,218327,1210755,3027909,3098422,3416530,3487152,3568068,3180875,3309068,3586966,3523255,8408841,312356,1359270,2734011,3171459,3235785,3299849,3290349,3292997,3431265,3539446,3257194,8380669,452270,1265289,2954124,2808337,3178170,3485946,3308876,3254600,3537591,3422777,3414680,8281208,337588,1276145,3061124,2854835,3297078,3716323,3320232,3149024,3560065,3319232,3446661,8419539,245862,1438662,3019263,2927272,3311331,3273013,3200777,3366335,3591502,3341473,3425026,8453279,241013,1454426,2924726,3093510,3352498,3414454,3365298,3384195,3399193,3575973,3500566,8384878,276619,1462896,3072437,2993819,3582589,3514518,3613910,3456316,3426925,3636385,3471376,8514497,278551,1436442,3149693,3405124,3144500,3608128,3503688,3446943,3472106,3615055,3307960,8513422,353156,1314428,3180663,3066943,3280361,3589309,3522815,3324954,3671083,3534080,3379433,8465491,367884,1454094,3143871,2810750,2643546,2663132,3140882,3347127,3497162,3283399,3453499,7829410,331655,1508361,2285634,2424077,3113547,3179802,2870348,3227272,3434161,3371166,3390749,7983541,390585,1514203,2546881,2777451,3034458,3280544,2831215,2154779,2117199,2464555,3012830,7542149,283216,1350523,2727949,2827158,3123350,2845819,3037581,3362458,3077093,3198127,3198268,7626772,339328,1432061,2716635,,,,,,,,,
Stromsteuer,0,0,0,0,50529,166424,277509,213740,165686,261899,266071,413663,102996,153990,285666,191011,375720,275233,359004,310449,269085,301327,244134,487121,166706,189146,418107,279699,409772,363645,555174,356377,268683,381480,381438,552271,190344,265084,427271,352902,454962,359483,614033,515528,277057,562661,392577,684620,197859,343578,619888,395721,612726,579116,885697,477028,492648,606975,437275,882648,517772,448591,506328,508054,463489,889617,584181,557136,406828,598297,461754,654620,487387,197958,515020,678559,467651,863321,569683,500714,518349,480929,481494,701329,436355,264643,791141,499451,437953,782410,474950,477142,515540,547771,481537,563954,458350,575456,613519,608809,593308,794482,317002,452775,548881,328930,524373,538646,543088,484971,519398,466660,495345,631877,460812,516275,486829,524457,579025,551889,544019,477571,538436,507979,450586,610672,518440,527642,535596,514428,532504,520061,516611,340993,640744,508251,474121,587483,499167,506947,556590,528445,471243,540628,512769,440604,831265,652263,563034,744526,606100,580965,576307,612118,562357,564566,543916,604490,566064,571466,550796,843328,480908,511621,574039,590853,561352,574319,540382,640830,616094,605289,574980,829186,512009,558080,532369,557985,614392,427609,517916,461222,571060,511054,507825,699593,557302,596482,562348,578028,577028,498362,620985,543341,642173,568839,495088,401075,584496,553391,504966,551642,526517,600018,588233,517688,579454,578603,513717,422333,546463,546375,548455,573393,531325,623135,526021,498011,722105,581653,515682,686455,531137,529782,567480,572808,558056,654714,585555,546171,593532,591098,540015,673969,531530,581313,564577,567413,562004,520864,575530,531286,538727,527517,543959,587978,542638,555750,540533,579788,573768,591309,583077,593296,532067,484944,489891,610531,484101,562141,452882,643817,553671,570332,585256,412196,694718,578116,540827,521308,516721,545889,555156,564251,565362,611515,628558,504822,651781,590563,539144,591931,499641,558046,540583,567461,576155,581638,611374,531906,605642,574380,560706,533618,579077,587180,582696,556509,593838,514979,557788,444878,537546,,,,,,,,,
