Tax name,1999-q1,1999-q2,1999-q3,1999-q4,2000-q1,2000-q2,2000-q3,2000-q4,2001-q1,2001-q2,2001-q3,2001-q4,2002-q1,2002-q2,2002-q3,2002-q4,2003-q1,2003-q2,2003-q3,2003-q4,2004-q1,2004-q2,2004-q3,2004-q4,2005-q1,2005-q2,2005-q3,2005-q4,2006-q1,2006-q2,2006-q3,2006-q4,2007-q1,2007-q2,2007-q3,2007-q4,2008-q1,2008-q2,2008-q3,2008-q4,2009-q1,2009-q2,2009-q3,2009-q4,2010-q1,2010-q2,2010-q3,2010-q4,2011-q1,2011-q2,2011-q3,2011-q4,2012-q1,2012-q2,2012-q3,2012-q4,2013-q1,2013-q2,2013-q3,2013-q4,2014-q1,2014-q2,2014-q3,2014-q4,2015-q1,2015-q2,2015-q3,2015-q4,2016-q1,2016-q2,2016-q3,2016-q4,2017-q1,2017-q2,2017-q3,2017-q4,2018-q1,2018-q2,2018-q3,2018-q4,2019-q1,2019-q2,2019-q3,2019-q4,2020-q1,2020-q2,2020-q3,2020-q4,2021-q1,2021-q2,2021-q3,2021-q4,2022-q1,2022-q2,2022-q3,2022-q4,2023-q1,2023-q2,2023-q3,2023-q4
Steuereinnahmen insgesamt,100811357,109083626,112585530,130568829,105492141,117975851,114221163,129545404,105744409,109990284,109789699,120704115,99484352,104422649,109246908,128503308,96863272,108777317,109161289,127432765,97341162,112617068,107769136,125248707,100045718,111680497,111172005,129412936,106967980,121932523,121760666,138007555,122549694,136962467,131495142,147235610,131506594,143005620,137453884,149215925,128787304,130491410,124436962,140284763,121321578,134842781,127310852,147111754,135589439,145635544,136382269,155744171,143334286,150392662,147754945,158563907,148936171,155506823,151348270,163881879,153970676,158117615,156886111,174642760,161068190,167763002,166467779,177962517,170357674,176879264,169374034,189180438,181506249,177089513,180406502,195510588,189456834,194714658,189015132,203076155,193053574,202383120,193917711,209953772,198350693,158160727,182201784,200990466,189325424,191931092,211363669,240569055,224006239,224537502,205543486,241628285,220949882,221224721,230108962,243610095
Lohnsteuer,29840405,31106071,32372022,40490555,30663837,31259791,33013155,40796283,31187638,30990505,31516986,38930794,30382061,30999764,31896169,38911848,30588926,31683355,32136971,38680905,29518212,29560266,29361570,35455322,27866826,29030283,28171772,33850390,28095203,29771737,29229421,35515767,30464498,32243748,31415894,37649149,32792742,34699953,34063184,40339492,33974531,30480833,32150333,38559361,30254693,30446546,30445423,36757456,32477755,34144000,33589923,39537636,34105722,36147668,36581681,42229543,36467874,38826530,38007674,44896002,39035473,40767498,40537680,47641860,41556785,44266608,43251208,49815939,42583476,45311497,44656141,52274947,45308810,48255580,47252701,54706650,48059371,51395121,50367521,58408850,50923392,54436764,53667510,60632414,53388860,50760175,47470482,57666886,50853943,50782826,53857237,62913140,56205953,60363075,43430526,67204988,55668701,59537726,56370020,64651006
Umsatzsteuer,28028442,26986332,27900167,28685520,28166641,26589221,25849362,26534321,26516488,25078799,25954861,26912854,27087168,25417207,25936542,27021855,25526472,24958040,26101569,26575644,25918682,25023000,26512980,27260705,28031041,25179767,27519472,27709489,27508358,26344753,28062827,29402231,32624238,30641994,31723967,32531823,33487775,30645391,32705142,33950672,34233805,35176421,35716708,36780323,34054046,33779045,33257606,35368552,35528216,33081566,34232104,36115484,36340443,32870870,36232327,36995343,37465911,35052197,37661343,38135668,38903901,37193999,38732905,39396954,40049546,38063061,40029270,40873275,42267525,40195308,40876865,42592735,44196408,39885282,42570838,43845942,45271842,41220324,43950896,44994112,46018147,43942937,45976183,47175471,46037524,31624637,47933188,43104582,45403141,43399496,49051831,49776605,54234153,46754710,49323059,47888729,52197500,47855253,56986261,55556965
Tabaksteuer,2023163,2812593,3056841,3762050,1887590,2955979,3062844,3536528,2076926,2500447,3108584,4385978,1857168,3291383,3576859,5052611,1949682,3599766,3749141,4795303,2376206,3484275,3477991,4291532,2499126,3609770,3951310,4212797,2786393,3604009,3699767,4296354,2915737,3461881,3773926,4102822,2546547,3267359,3649441,4110930,2364755,3560071,3498940,3942236,2461601,3327245,3607732,4095693,2893158,3299816,3417651,4803125,2304638,3549864,3610485,4678461,2141365,3504151,3858478,4315947,2477344,3708254,3734991,4691149,2222918,3682614,3981051,5034342,2721763,4139226,3010172,4314900,2637075,3633764,3867042,4260950,2425205,3484530,3886359,4542913,2494730,3588039,3667412,4506647,2413450,3772345,3977721,4487400,2584520,4053322,3636208,4458472,2371560,3648323,3742238,4467300,2668744,3830018,3879231,4293816
Kaffeesteuer,258836,265041,272196,310028,267017,237012,272843,309912,247689,246742,251048,293343,259116,247106,253381,331128,215670,245951,229899,288601,256950,251031,229128,287498,265462,225044,213125,299666,213131,250665,228741,280352,302613,261041,220353,302461,232107,249149,239526,287362,224885,263184,233686,274921,237871,262171,246834,255013,248316,272306,238541,269140,256417,266481,245997,284649,238099,261672,239715,281657,250996,256797,230895,276891,252586,270599,230142,278184,255109,251243,259360,274112,249146,269081,244425,294700,243446,259891,247153,286079,245845,282058,243441,288908,250707,238374,263739,307489,251562,276557,250641,279665,252982,287899,241383,280277,255056,257171,240168,277834
Alkoholsteuer,383766,478534,494390,876087,356164,467950,494056,832593,348875,464496,499624,829582,336645,461052,510683,840752,382435,466509,521454,834035,439025,501472,474238,779924,334652,562394,511915,732903,398778,505336,535876,720274,415656,492918,508769,541371,626481,479171,487662,532620,593745,477676,487739,541755,526340,437380,488853,537736,573842,482332,540500,552760,576468,489907,506404,548607,579773,471135,506910,544604,555944,469795,499031,534886,569956,469954,495718,534300,565391,473224,499309,532307,578070,476263,501545,537712,591186,466364,530581,544547,578901,485312,515211,538332,561631,455394,506161,714715,395059,528184,514434,651362,531490,504973,549090,605728,530190,517279,531653,579841
Alcopopsteuer,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2422,2669,1651,1520,1405,1384,563,809,852,593,721,572,865,582,481,628,636,444,582,405,1018,442,1351,-819,633,481,399,376,595,652,383,243,927,423,322,347,476,188,343,433,377,1082,369,207,266,475,303,627,637,454,402,462,415,1196,230,217,447,132,10208,152,-81,485,189,351,2254,-8096,318,483,872,739,336,424,391,275
Schaumweinsteuer,92404,101900,109519,241537,106140,81747,101202,188433,89631,80036,98676,188862,88883,80670,95316,155305,100296,76845,94030,161148,112055,87010,88878,148005,98418,88363,89449,148055,100367,81102,91874,147433,96130,83556,93675,98032,151745,80551,95981,101347,138914,92626,94225,120168,126009,88847,101395,105254,141628,94919,105595,112193,140909,94387,112245,102439,148435,90308,93005,102567,134863,94535,88346,93838,135207,85037,90533,118308,108950,83140,86961,121515,108925,79870,88862,90270,126652,76849,85255,88974,123734,84586,85008,90560,117644,75925,80398,131058,75360,74154,81638,109450,93657,80886,87493,90428,109100,82691,84296,84876
Energiesteuer,3755512,8934960,9076458,14676686,4446652,9639912,9507271,14232474,5460907,9796223,10153186,15279672,5712848,10106857,10154239,16218518,4878123,10741178,10607012,16961367,4611761,10599293,9958911,16611735,4406776,9915609,9775978,16002619,4479780,9726596,10045134,15664516,4540031,9229719,9903586,15281257,4668180,9570160,9806650,15202553,4776720,10059027,9882516,15103455,4445687,9595516,10172043,15624874,4456991,10002104,10058012,15519062,4405637,9707093,10014611,15177309,4671683,9472453,10101067,15118665,4674857,9868235,10029321,15185432,4703787,9511616,10158614,15219777,4620164,9860462,10148686,15461418,4811952,10090926,10497151,15622258,4864685,10157753,10422737,15436438,4848248,9936613,10518852,15379004,4965849,8117429,9985170,14566309,4125651,8717426,9531781,14745456,4451669,9092453,7103193,13019535,4361688,8796327,9477132,14023167
Stromsteuer,,216953,656935,941632,542652,841964,938538,1032582,773959,1053116,1180234,1315189,882699,1167347,1406618,1639858,1161325,1587563,1855373,1926898,1472691,1861160,1548145,1714671,1200365,2009531,1588746,1663752,1492139,1719814,1467632,1593262,1647325,1996599,1318658,1391949,1547457,1593883,1463916,1655370,1560025,1569237,1581678,1566993,1498348,1569855,1562704,1540315,1784638,1959823,1763372,1739041,1714470,1965590,1566568,1726524,1797307,2009454,1602459,1599985,1550197,1718472,1716131,1653418,1806500,1465003,1642854,1678177,1685375,1514653,1641293,1727853,1746137,1783790,1628399,1785579,1725258,1805083,1677420,1650281,1645542,1659455,1638921,1744864,1708439,1585366,1499125,1767820,1692170,1640251,1617765,1741129,1785160,1721638,1598270,1725255,1748921,1668704,1748954,1665325
